Serie,Temporada,Episodio,Titulo,Tipo,Data,Dia,Mes,Ano,Dia Semana,Genero,Data_dia,Feriado
Explicando,Temporada 2,Código de programação,,Série,2021-02-13,13,Fevereiro,2021,Sábado,Documentário,2021-02-13,False
The Crown,Temporada 1,Assassinos,,Série,2021-02-09,9,Fevereiro,2021,Terça-feira,Drama,2021-02-09,False
The Crown,Temporada 1,Orgulho e Alegria,,Série,2021-02-09,9,Fevereiro,2021,Terça-feira,Drama,2021-02-09,False
O Tigre Branco,,,,Filme,2021-02-07,7,Fevereiro,2021,Domingo,Drama,2021-02-07,False
The Crown,Temporada 1,Saber é Poder,,Série,2021-02-05,5,Fevereiro,2021,Sexta-feira,Drama,2021-02-05,False
A Indústria da Cura,Leite materno é ouro líquido,,,Série,2021-01-31,31,Janeiro,2021,Domingo,Documentário,2021-01-31,False
A Indústria da Cura,Sexo tântrico,,,Série,2021-01-31,31,Janeiro,2021,Domingo,Documentário,2021-01-31,False
A Indústria da Cura,Óleos essenciais,,,Série,2021-01-31,31,Janeiro,2021,Domingo,Documentário,2021-01-31,False
The Crown,Temporada 1,Explosivo,,Série,2021-01-31,31,Janeiro,2021,Domingo,Drama,2021-01-31,False
The Crown,Temporada 1,Ilusões,,Série,2021-01-31,31,Janeiro,2021,Domingo,Drama,2021-01-31,False
